post_uri,post_author,post_author_display,post_text,timeposted,sentiment_score,keyword,location,cleaned_text,category,sentiment_label,prediction,LAT,LON
at://did:plc:xl25gajchs3pscu6kzcux4ij/app.bsky.feed.post/3llpkqxg2q224,49wrwolf.bsky.social,,"Heavy rain (Hurricane, tropical storm) has a tendency to cause floods. Well, we were told that since the water came from the ground and not sky, we were not covered!",2025-03-31 23:57:13.400,0.3382,Hurricane,None,heavy rain hurricane tropical storm tendency cause flood well told since water came ground sky covered,Tornado,positive,1,,
at://did:plc:lgpxrwm6kaoh5biho2fkhpnp/app.bsky.feed.post/3lmdfvsz6jk2d,aaliyahxx.bsky.social,Aaliyah 🇮🇪🇵🇸,"Breaking | Multiple injuries were reported in an Israeli drone strike targeting a tent sheltering displaced Palestinians in southwest Khan Younis, southern Gaza Strip.",2025-04-08 21:23:42.610,-0.128,displaced,Gaza Strip,breaking multiple injury reported israeli drone strike targeting tent sheltering displaced palestinian southwest khan younis southern gaza strip,Other,negative,1,31.5069,34.4560
at://did:plc:lgpxrwm6kaoh5biho2fkhpnp/app.bsky.feed.post/3lmdgejr4gc2d,aaliyahxx.bsky.social,Aaliyah 🇮🇪🇵🇸,"Breaking | Multiple injuries were reported in an Israeli airstrike targeting a residential building in Deir Al-Balah city, central Gaza Strip.",2025-04-08 21:31:56.230,0.0,injuries,"Deir Al-Balah, central Gaza Strip",breaking multiple injury reported israeli airstrike targeting residential building deir balah city central gaza strip,Other,neutral,1,31.4189,34.3517
at://did:plc:qcbnuwwkszqpk6tnuw23eqhd/app.bsky.feed.post/3lmddq7z2es2s,abc7chicago.bsky.social,ABC7 CHICAGO,Woman rescued from storm drain in Southern California days after she was reported missing,2025-04-08 20:44:47.430,0.1531,rescued,None,woman rescued storm drain southern california day reported missing,Tornado,positive,1,,
at://dummy:plc:wildfire1/post/001,wildfirewatcher,FireWatch,"Seeing a lot of smoke near the mountains. Praying everyone is safe!",2025-04-20 10:00:00.000,0.1,smoke,Southern California,seeing lot smoke near mountain praying everyone safe,Wildfire,neutral,1,34.05,-118.25
